"dyad","t","p0mov","p1mov","p0sp","p1sp"
1,1,0.563984598270238,-1.31231304173573,0,0
1,2,2.05098428347864,1.46069693921191,0,1
1,3,0.452121044526078,-0.740633563210732,0,1
1,4,0.358485070502767,-0.188266340076618,1,1
1,5,0.698669530044743,0.343877769472306,0,0
1,6,-1.15774090463711,-0.230831363362739,1,0
1,7,0.167795180829675,-0.744116912568001,1,0
1,8,-0.841228459451932,0.641909766779205,1,0
1,9,-0.0867715016616399,-2.0549485528124,0,1
1,10,-1.53622488807333,0.0952602148768053,1,0
1,11,-2.50384576461013,-0.026744534397257,0,0
1,12,-0.535235945297649,1.37957847337588,0,0
1,13,0.122077779134186,1.69584544648083,1,1
1,14,0.812329952696483,0.16759020277853,1,0
1,15,0.276959885433872,-1.8911301309995,0,1
1,16,-0.447799359997947,0.359012343313039,0,1
1,17,-1.44532575248392,-1.57541190409673,0,1
1,18,-1.22783045172188,0.950107645692546,0,0
1,19,-0.255527936664287,-0.354756192531313,0,1
1,20,-0.636633381889217,0.97676197292967,1,0
1,21,1.34319019985488,-0.0578022000763952,1,0
1,22,-1.8891109048227,-0.991607537588454,0,1
1,23,-1.45034090181424,0.756835870436214,0,1
1,24,0.157573821847775,0.548321236552333,0,0
1,25,-0.582457880534898,0.131660129677487,0,0
1,26,-0.949962339542706,-1.65593843808591,1,0
1,27,0.26944994918595,1.13853470206908,0,0
1,28,0.281167907206242,0.043337079097649,1,1
1,29,-0.647151829610604,0.623561144588928,1,1
1,30,-0.796652174850515,-2.57692154364193,0,1
1,31,0.399702177196182,0.510611153454907,0,1
1,32,-0.136640012791297,-2.16554185701582,1,0
1,33,-0.353939132972598,-1.56597093565136,1,0
1,34,0.633700212155819,-0.110116565693634,1,0
1,35,0.161280053931854,-0.771180826181072,1,1
1,36,-0.749448698544772,-0.836691143640508,0,0
1,37,0.95630302430485,-0.279512247825902,0,1
1,38,-0.355114876848336,1.74836524165089,1,1
1,39,1.26669592287673,-0.788289611558856,0,0
1,40,2.50864854854983,1.97009258140871,0,1
1,41,0.109167437073802,1.3882619021637,1,1
1,42,0.258422615742886,-0.337719474057551,1,1
1,43,0.0829848231215195,1.84041564263548,1,0
1,44,0.998888813241493,-1.52826855126886,0,0
1,45,-0.6395798568133,0.300573653721976,1,0
1,46,1.20931588819753,-1.21499234850485,1,0
1,47,0.653333717539372,-1.83217192227326,1,0
1,48,1.24335818159771,1.0812331403351,1,1
1,49,-0.635174225611071,1.0347584267915,1,0
1,50,-0.131339475596314,0.59343512488563,1,0
1,51,1.58581210992768,0.287616295512333,0,1
1,52,-0.990160927284473,-0.904887803417074,1,1
1,53,-0.0848430551799204,0.289785432714965,0,0
1,54,0.211690336729243,0.883752086490117,1,1
1,55,0.890658876374147,1.27586522103977,1,1
1,56,-0.261136032611682,-0.561690472533657,1,1
1,57,-0.236766322585681,0.0576419138721584,0,1
1,58,-0.663799708058356,-0.457605295313421,0,0
1,59,-0.850338244311468,-0.931931289671675,1,1
1,60,0.226758990650867,-0.0788277608109705,0,1
1,61,0.64987514007357,-1.45591723565186,0,0
1,62,-0.324649821739216,-1.19574659342935,1,0
1,63,0.830680966226344,0.194334882800308,1,0
1,64,-0.917332256699014,-1.37718603950352,0,0
1,65,1.21924698923109,1.4191525298491,0,0
1,66,0.57706201826574,1.73514222270502,1,0
1,67,0.0985071139757379,-0.388345874330929,1,0
1,68,-1.88193939753979,0.379159349423333,0,0
1,69,0.60121175706673,0.182154689226641,0,0
1,70,-0.154350486490667,0.238124418829419,0,1
1,71,0.605617937840513,-0.746681039680586,1,1
1,72,-1.04531709847636,0.191776375418888,1,0
1,73,-0.600627774781505,-0.676972390058804,0,0
1,74,-0.0250710675371965,0.0738129530131571,0,1
1,75,1.01872992812014,1.42448403026278,0,0
1,76,-0.71928803806254,-0.146549944520265,1,1
1,77,0.0978519378171314,0.864878071765764,0,1
1,78,1.1200911401639,2.24275856088897,1,1
1,79,1.21195461770772,-0.0254836413275702,0,0
1,80,-0.850351043255341,1.10349265424256,1,1
1,81,-0.343933495597517,-0.232339982203052,1,0
1,82,-1.11234965344225,-0.651203748433175,0,1
1,83,2.6853515653225,0.433704354735841,1,0
1,84,0.284120634521961,0.100797820292098,1,0
1,85,0.545452229096699,0.353952371844995,1,0
1,86,-0.309038649072061,0.478533820490489,1,1
1,87,0.680900157924305,0.0576783702251978,1,1
1,88,0.200727676043033,0.828737571290041,0,0
1,89,-0.730932595889396,0.65308374242051,0,1
1,90,-0.437307297168253,-0.224133988920964,1,0
1,91,1.1662323327829,0.766268026786992,0,1
1,92,-0.696402344239866,-0.442963726474475,0,1
1,93,-1.43201761404719,0.0712050821220272,0,1
1,94,1.38805102047268,-0.11572507560655,0,0
1,95,-2.00970168892631,-0.214663564528097,0,1
1,96,-2.34974140178371,0.338150518415376,1,1
1,97,-0.168824446894814,-0.47818800401909,1,1
1,98,2.2713675036314,-1.00382942308306,1,0
1,99,0.969605774844245,-1.08487332412384,1,0
1,100,0.0131477451655982,0.520942785438221,1,0
